Project: Dynamics 365 Convergence    Server: dev.azure.com/ecolaboip    Query: 1C-Project-Plan-All-001    List type: Tree    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Work Item Type,Effort,Target Date,Title 1,Title 2,Title 3,Title 4,Title 5,Title 6,Description,Assigned To,State,Tags,Area Path,Created By,Iteration Path,Priority,Reason,Value Area,Comment Count,Acceptance Criteria,Story Points,Activity,Finish Date,Original Estimate,Remaining Work,Completed Work
863457,User Story,,,,,,Audit Trail for Add Sales Skill,,,"As a compliance officer
I want CRM to log all Add Sales Skill actions triggered by CLM responses
So that I can maintain traceability and auditability
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,1,"  Scenario: Add Sales Skill triggered by CLM response 
    Given CLM/MDM returns ""Existing Customer Found"" 
    When CRM triggers the Add Sales Skill process 
    Then CRM should log the action with timestamp, user ID, and linked BCA/Sales Skill Account 

 
",,,,,,
863456,User Story,,,,,,API Failure or Timeout,,,"As a sales ops user
I want CRM to fallback to a pending review state when CLM/MDM API fails
So that I can manually review and resolve the prospect creation
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,1,"  Scenario: CLM/MDM API fails or times out 
    Given the sales rep attempts to create a prospect 
    When CRM sends data to CLM/MDM 
    And the API fails or times out 
    Then CRM should save the prospect in ""Pending Review"" status 
    And CRM should flag the record for Sales Ops review 

 
",,,,,,
853533,Requirement,,,,,"Automate Prospect-to-Customer Conversion Across CRM, CLM, MDM, and EBS",,,,"Business Objective:
Ensure seamless conversion of approved prospects into active customers by synchronizing CRM with CLM, MDM, and EBS. When a prospect is approved in CLM, the corresponding CRM records (Prospect BCA and linked Sales Skill accounts) must automatically update with the official ERP customer number and correct ERP status, eliminating manual intervention and ensuring system-wide consistency. 

 

 
Business Requirements:
 

 *  When Sales Ops approves a prospect in CLM: 

 *  CLM triggers the conversion process by sending details to MDM. 
 *  MDM processes the request and passes it to EBS for official customer account creation. 
 *  EBS generates the ERP customer number and returns it to MDM, which then flows back to CLM and CRM. 
 

 *  In CRM, the following updates must occur automatically: 

 *  Prospect BCA: 

 *  ERP Status flips from Prospect ? Customer. 
 *  ERP Customer Number is populated. 
 

 *  Sales Skill Accounts linked to the Prospect BCA: 

 *  Account Type flips from Prospect ? Customer. 
 *  ERP Customer Number is populated on each linked account. 
 

 *  Ownership: Updated to reflect any new ownership logic coming from CLM/MDM. 
 

 *  
 
 *  Status transitions must be fully automated with no manual updates in CRM. 
 *  All related downstream entities (opportunities, contacts, service records) must retain their links to the updated Customer accounts. 
 

 
Technical Considerations: 

 *  CRM must consume CLM/MDM integration events that include the official ERP Customer Number and updated status. 
 *  Update logic in CRM must ensure both the BCA and all linked Sales Skill Accounts remain synchronized. 
 *  Error handling: 

 *  If an ERP number is not received, the conversion should not complete in CRM. 
 *  Partial updates must be avoided; CRM should roll back or retry until successful. 
 

 *  Data mapping must include: 

 *  Prospect BCA ? Customer BCA. 
 *  Prospect ERP Status ? Customer ERP Status. 
 *  Sales Skill Account Type ? Customer. 
 *  ERP Number population at both BCA and Sales Skill levels. 
 

 *  Ownership sync: Clarify whether CRM should always overwrite ownership from CLM/MDM or allow manual override. 
 

 
Expected Deliverables: 

 *  Automated prospect-to-customer conversion process integrated across CRM, CLM, MDM, and EBS. 
 *  CRM records (BCA and Sales Skill accounts) automatically updated with ERP numbers and status changes. 
 *  ERP Status transitions (Prospect ? Customer) reflected consistently in both BCA and Sales Skill accounts. 
 *  Documentation of integration mapping, status transitions, and test cases. 
 *  Error-handling and retry mechanism for failed updates. 
 

 

","Yellapantula, Siva",New,Integration; Inventory,\FBU 1C,"Yellapantula, Siva",\One Dynamics,,Moved to state New,,0,,,,,,,
861866,User Story,,,,,,Update Prospect BCA in CRM,,,"As a CRM system
I want to automatically update the Prospect BCA record
So that it reflects the correct ERP status and ERP customer number
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,0,"  Scenario: ERP customer number received from MDM 
    Given a Prospect BCA exists in CRM 
    And an ERP customer number is received from MDM 
    When the conversion process is triggered 
    Then the ERP Status should change from ""Prospect"" to ""Customer"" 
    And the ERP Customer Number should be populate 

 
",,,,,,
861867,User Story,,,,,,Update Linked Sales Skill Accounts,,,"As a CRM system
I want to update all Sales Skill accounts linked to the Prospect BCA
So that they reflect the correct account type and ERP customer number
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,0,"  Scenario: ERP customer number received for linked accounts 
    Given Sales Skill accounts are linked to a Prospect BCA 
    And an ERP customer number is received 
    When the conversion process is triggered 
    Then each linked account's type should change from ""Prospect"" to ""Customer"" 
    And the ERP Customer Number should be populated on each linked account 
    And ownership should be updated based on CLM/MDM l 

 
",,,,,,
861865,User Story,,,,,,Trigger Conversion from CLM,,,"As a Sales Ops user
I want CLM to trigger the conversion process when a prospect is approved
So that the customer creation flow begins across MDM, EBS, and CRM
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,1,"  Scenario: Sales Ops approves a prospect in CLM 
    Given a prospect is approved in CLM 
    When CLM sends the prospect details to MDM 
    Then MDM should initiate customer creation in EBS 
    And EBS should return the ERP customer number to MDM 
    And MDM should send the ERP number back to CLM and CRM 

 
",,,,,,
896181,User Story,,,,,,"Technical Spike: Validate EIN (Employee ID) Formatting in CRM – Leading Zeros, Data Quality, and Downstream Impact Assessment",,,"As a CRM team,
I want to assess EIN formatting requirements (including leading zeros) and analyze downstream impacts of any normalization or data fix,
 
so that we can confidently pass a correct EIN to CLM and maintain consistency across CRM and dependent systems.
 

 
Background: 

 *  CRM will pass the rep’s EIN / Workday Employee ID (stored on System User as ECL_EmployeeId) as part of the CLM Launch context. We have identified potential data quality issues where some EIN values that should include leading zeros may be stored in CRM without them (e.g., 00123456 stored as 123456). Workday EIN length can vary (currently observed 6–8 digits), which creates ambiguity on whether CRM should: 

 *  Normalize at runtime (pad with leading zeros to 8 characters only when sending to CLM), or 
 *  Clean the source data in CRM (update user records to match the authoritative Workday/EBS source), with governance and downstream impact validation. 
 

 *  Before choosing an approach, we need to confirm: 

 *  the authoritative source and expected canonical format (exact string as Workday stores it) 
 *  if CRM and downstream systems (Power BI, integrations, reports, security mapping, etc.) assume a specific EIN format/length 
 *  whether leading-zero updates could break joins, historical reporting, or identity mapping 
 

 

Spike Objective
 
 

 *  Determine the correct EIN format and the safest remediation approach (runtime normalization vs. CRM data fix), including downstream impact analysis, and produce a recommended implementation plan. 
 

 
","Kumar, Manoj",In Development,TECHNICAL SPIKE,\FBU 1C\Data,"Yellapantula, Siva",\One Dynamics\Sprint 26.17.05,2,Moved out of state Sprint Ready,Business,7,"In Scope
 

 *  Current-state assessment of SystemUser.ECL_EmployeeId: 

 *  field type, max length, nullability, usage 
 *  frequency of EIN values by length (6/7/8) and suspected missing leading zeros 
 *  the team should document: 

 *  field schema (type, length, required/optional) 
 *  sample data patterns (6/7/8 digits, alphanumeric if any) 
 *  count of users by EIN length 
 *  count of suspected “missing leading zero” cases (based on comparison logic or authoritative source workday) 
 

 

 *  Determine canonical EIN representation: 

 *  confirm if Workday treats EIN as a string identifier (not numeric) 
 *  confirm whether leading zeros are meaningful and must be preserved 
 

 *  Evaluate solution approaches: 

 *  Option A: runtime normalization when building CLM token (e.g., pad-left to 8 only when appropriate) 
 *  Option B: one-time CRM data cleanup to correct stored EIN values to match authoritative system 
 

 *  Downstream impact assessment. Create an Inventory List: 

 *  each dependent system/artifact (Power BI datasets/reports, integrations, Snowflake views, ADF pipelines, etc.) 
 *  how EIN is used (join key, display field, filter, export) 
 *  risk rating per dependency (Low/Med/High) 
 *  required remediation per dependency if EIN format changes 
 

 *  Produce recommendation + implementation plan + risks 

 *  preferred approach (Option A or Option B, or hybrid) 
 *  exact normalization rule (if Option A) 
 *  scope + steps for one-time cleanup (if Option B) 
 *  list of follow-on user stories needed (data fix story, reporting updates, regression tests, comms/training 
 

 

 
",5,,,,,
897087,Task,,,,,,,Analysis of CDM and Service order integration for EIN field format change,,"This task involves analyzing the CDM and Service Order integration for both EBS and NSAP to assess whether changes in the EIN format impact the integration. It also includes identifying the relevant code and coordinating with the respective teams as needed. 
","Kumari, Ankita",Closed,Integration; Inventory,\FBU 1C\Data,"Kumari, Ankita",\One Dynamics\Sprint 25.17.04,2,Completed,,3,,,Development,,4,,4
897301,Task,,,,,,,analysis and document the finding,,,"Kumar, Manoj",Active,,\FBU 1C\Data,"Kumar, Manoj",\One Dynamics\Sprint 26.17.05,2,Work started,,0,,,Investigation,,10,4,6
896167,User Story,,,,,,"Technical Spike: CRM Tokenized CLM Launch – AES-GCM POC, Key Storage Design, and Implementation Approach",,,"As a CRM technical Architect ,
I want to prototype and document the end-to-end approach for launching CLM using a tokenized (encrypted) URL,
 
so that we can confirm feasibility, align on best practices (especially key storage), and unblock secure implementation for CLM launch.
 

 

Background: 
 

 *  To support secure launch of CLM from CRM without exposing PII (e.g., rep email/EIN) in URL query parameters, we will implement a tokenized launch pattern where CRM generates an encrypted token (primary approach: AES-GCM) and appends only the token to the CLM launch URL. CLM will decrypt the token server-side and route the user to the correct account. 
 *  Attached is a working AES-GCM console sample that demonstrates encryption/decryption and (optionally) token expiry logic. This spike is to prove the CRM implementation path (Ribbon button ? JS ? Custom API/Action/Plugin ? token ? URL launch) and to finalize key storage best practices. 
 *  A secondary exploration (time-permitting) is to assess feasibility of RS-256-based JWE as an alternative (without making it a required deliverable for this spike). 
 

 
 
","Chopra, Ashish",Pending PO Review,AtRisk; CRM; TECHNICAL SPIKE,\FBU 1C\CRM,"Yellapantula, Siva",\One Dynamics\Sprint 26.17.05,2,Moved out of state In Development,Business,3,"In Scope
 

 *  Implement POC flow for AES-GCM token generation from CRM on button click: 

 *  Ribbon/Command Bar button 
 *  JavaScript handler to gather required fields 
 *  Invoke server-side logic (Custom API / Custom Action / Plugin) 
 *  Return encrypted token to JS 
 *  Build CLM launch URL and open CLM in new tab/window 
 

 *  Document recommended approach for: 

 *  Where/how AES key is stored 
 *  Rotation strategy and environment separation 
 *  Logging/telemetry guidance (no PII) 
 *  Error handling and fallbacks 
 

 *  Validate decryption compatibility assumptions with CLM (at least at interface level) 
 *  POC validation of decryption
 

 *  Given the generated token from CRM, 
 *  When it is decrypted using the paired AES-GCM decryption routine (test harness/console validation is acceptable for spike), 
 *  Then the decrypted payload matches the original inputs exactly and proves round-trip integrity. 
 

 *  Token expiry approach documented and proven
 
 *  Key storage decision documented 

 *  POC implementation in CRM (lower env acceptable): 
 *  button + JS 
 *  Custom API/Action/Plugin token generator (AES-GCM) 
 *  sample generated token output 
 

 *  Get sign off from Enterprise Architect and CLM & CRM Technical Stakeholders on the encryption approach 

 

 

Open Questions (track within spike)
 
 

 *  Should token generation be via Custom API vs Custom Action + Plugin (team recommendation)? 
 *  Where will we store the AES key: 

 *  Integration Settings table 
 *  Environment Variable (Dataverse) 
 *  Azure Key Vault (if available) + retrieval pattern 
 

 *  Do we need per-environment keys and rotation cadence? 
 


",5,,,,,
899510,Task,,,,,,,POC - Joint testing of Tokenized CLM URL with CLM team,,"POC - Joint testing of Tokenized CLM URL with CLM team
 
","Chopra, Ashish",Closed,,\FBU 1C\CRM,"Chopra, Ashish",\One Dynamics\Sprint 26.17.05,2,Completed,,1,,,Development,,3,,3
897146,Task,,,,,,,Identify and document server-side logic for encryption,," *  Implement POC flow for AES-GCM token generation from CRM on button click: 

 *  Ribbon/Command Bar button 
 *  JavaScript handler to gather required fields 
 *  Invoke server-side logic (Custom API / Custom Action / Plugin) 
 *  Return encrypted token to JS 
 *  Build CLM launch URL and open CLM in new tab/window 
 

 


 
","Chopra, Ashish",Closed,,\FBU 1C\CRM,"Chopra, Ashish",\One Dynamics\Sprint 25.17.04,2,Completed,,1,,,Development,,3,,3
897149,Task,,,,,,,Document token expiry and key storage decision,," *  Token expiry approach documented and proven
 
 *  Key storage decision documented 

 *  POC implementation in CRM (lower env acceptable): 
 *  button + JS 
 *  Custom API/Action/Plugin token generator (AES-GCM) 
 *  sample generated token output 
 

 


 
","Chopra, Ashish",Closed,,\FBU 1C\CRM,"Chopra, Ashish",\One Dynamics\Sprint 25.17.04,2,Completed,,1,,,Development,,6,,6
897147,Task,,,,,,,Document recommended approach for encryption,," *  Document recommended approach for: 

 *  Where/how AES key is stored 
 *  Rotation strategy and environment separation 
 *  Logging/telemetry guidance (no PII) 
 *  Error handling and fallbacks 
 

 


 
","Chopra, Ashish",Closed,,\FBU 1C\CRM,"Chopra, Ashish",\One Dynamics\Sprint 25.17.04,2,Completed,,1,,,Development,,3,,3
881645,User Story,,,,,,Placeholder 2,,,,"Yellapantula, Siva",Removed,,\,"Yellapantula, Siva",\One Dynamics,2,Removed from the backlog,Business,0,,8,,,,,
861869,User Story,,,,,,Ownership Sync Logic,,,"As a CRM admin
I want to define ownership sync rules
So that CRM either overwrites ownership from CLM/MDM or allows manual override
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,1,"  Scenario: Ownership update from CLM/MDM 
    Given ownership data is received from CLM/MDM 
    When the conversion process is triggered 
    Then CRM should update ownership based on defined rules 
    And allow manual override if configured 

 
",,,,,,
861868,User Story,,,,,,Maintain Downstream Entity Linkages,,,"As a CRM system
I want to retain links to opportunities, contacts, and service records
So that they remain associated with the updated customer accounts
 
","Yellapantula, Siva",Removed,Integration; Inventory; Review,\FBU 1C,"LaPlante, Chris",\One Dynamics,2,Removed from the backlog,Business,0,"  Scenario: Prospect BCA converted to Customer 
    Given opportunities, contacts, and service records are linked to a Prospect BCA 
    When the BCA is converted to a customer 
    Then all downstream entities should remain linked to the updated Customer acc 

 
",,,,,,
